datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,SERC,SOUTH,DOM,DOM,10069.639,True
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,SERC,SOUTH,DOM,DOM,9815.292,True
1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,SERC,SOUTH,DOM,DOM,9612.893,True
1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,SERC,SOUTH,DOM,DOM,9524.088,True
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,SERC,SOUTH,DOM,DOM,9575.519,True
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,SERC,SOUTH,DOM,DOM,9728.428,True
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,SERC,SOUTH,DOM,DOM,9990.636,True
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,SERC,SOUTH,DOM,DOM,10296.434,True
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,SERC,SOUTH,DOM,DOM,10564.464,True
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,SERC,SOUTH,DOM,DOM,10671.187,True
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,SERC,SOUTH,DOM,DOM,10426.355,True
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,SERC,SOUTH,DOM,DOM,10084.869,True
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,SERC,SOUTH,DOM,DOM,9803.654,True
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,SERC,SOUTH,DOM,DOM,9628.759,True
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,SERC,SOUTH,DOM,DOM,9481.936,True
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,SERC,SOUTH,DOM,DOM,9442.760,True
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,SERC,SOUTH,DOM,DOM,9865.397,True
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,SERC,SOUTH,DOM,DOM,10870.602,True
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,SERC,SOUTH,DOM,DOM,11133.223,True
1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,SERC,SOUTH,DOM,DOM,11074.927,True
1/2/2017 1:00:00 AM,1/1/2017 8:00:00 PM,SERC,SOUTH,DOM,DOM,10933.476,True
1/2/2017 2:00:00 AM,1/1/2017 9:00:00 PM,SERC,SOUTH,DOM,DOM,10537.247,True
1/2/2017 3:00:00 AM,1/1/2017 10:00:00 PM,SERC,SOUTH,DOM,DOM,10057.316,True
1/2/2017 4:00:00 AM,1/1/2017 11:00:00 PM,SERC,SOUTH,DOM,DOM,9500.731,True
1/2/2017 5:00:00 AM,1/2/2017 12:00:00 AM,SERC,SOUTH,DOM,DOM,9045.205,True
1/2/2017 6:00:00 AM,1/2/2017 1:00:00 AM,SERC,SOUTH,DOM,DOM,8878.118,True
1/2/2017 7:00:00 AM,1/2/2017 2:00:00 AM,SERC,SOUTH,DOM,DOM,8808.183,True
1/2/2017 8:00:00 AM,1/2/2017 3:00:00 AM,SERC,SOUTH,DOM,DOM,8866.032,True
1/2/2017 9:00:00 AM,1/2/2017 4:00:00 AM,SERC,SOUTH,DOM,DOM,9099.472,True
1/2/2017 10:00:00 AM,1/2/2017 5:00:00 AM,SERC,SOUTH,DOM,DOM,9518.488,True
1/2/2017 11:00:00 AM,1/2/2017 6:00:00 AM,SERC,SOUTH,DOM,DOM,10068.149,True
1/2/2017 12:00:00 PM,1/2/2017 7:00:00 AM,SERC,SOUTH,DOM,DOM,10447.106,True
1/2/2017 1:00:00 PM,1/2/2017 8:00:00 AM,SERC,SOUTH,DOM,DOM,10674.283,True
1/2/2017 2:00:00 PM,1/2/2017 9:00:00 AM,SERC,SOUTH,DOM,DOM,11142.739,True
1/2/2017 3:00:00 PM,1/2/2017 10:00:00 AM,SERC,SOUTH,DOM,DOM,11455.898,True
1/2/2017 4:00:00 PM,1/2/2017 11:00:00 AM,SERC,SOUTH,DOM,DOM,11532.570,True
1/2/2017 5:00:00 PM,1/2/2017 12:00:00 PM,SERC,SOUTH,DOM,DOM,11480.486,True
1/2/2017 6:00:00 PM,1/2/2017 1:00:00 PM,SERC,SOUTH,DOM,DOM,11368.699,True
1/2/2017 7:00:00 PM,1/2/2017 2:00:00 PM,SERC,SOUTH,DOM,DOM,11318.854,True
1/2/2017 8:00:00 PM,1/2/2017 3:00:00 PM,SERC,SOUTH,DOM,DOM,11371.409,True
1/2/2017 9:00:00 PM,1/2/2017 4:00:00 PM,SERC,SOUTH,DOM,DOM,11722.575,True
1/2/2017 10:00:00 PM,1/2/2017 5:00:00 PM,SERC,SOUTH,DOM,DOM,12448.333,True
1/2/2017 11:00:00 PM,1/2/2017 6:00:00 PM,SERC,SOUTH,DOM,DOM,12357.457,True
1/3/2017 12:00:00 AM,1/2/2017 7:00:00 PM,SERC,SOUTH,DOM,DOM,12191.075,True
1/3/2017 1:00:00 AM,1/2/2017 8:00:00 PM,SERC,SOUTH,DOM,DOM,11739.136,True
1/3/2017 2:00:00 AM,1/2/2017 9:00:00 PM,SERC,SOUTH,DOM,DOM,11267.111,True
1/3/2017 3:00:00 AM,1/2/2017 10:00:00 PM,SERC,SOUTH,DOM,DOM,10477.252,True
1/3/2017 4:00:00 AM,1/2/2017 11:00:00 PM,SERC,SOUTH,DOM,DOM,9778.401,True
1/3/2017 5:00:00 AM,1/3/2017 12:00:00 AM,SERC,SOUTH,DOM,DOM,9348.901,True
1/3/2017 6:00:00 AM,1/3/2017 1:00:00 AM,SERC,SOUTH,DOM,DOM,9106.557,True
1/3/2017 7:00:00 AM,1/3/2017 2:00:00 AM,SERC,SOUTH,DOM,DOM,9063.053,True
1/3/2017 8:00:00 AM,1/3/2017 3:00:00 AM,SERC,SOUTH,DOM,DOM,9158.936,True
1/3/2017 9:00:00 AM,1/3/2017 4:00:00 AM,SERC,SOUTH,DOM,DOM,9508.906,True
1/3/2017 10:00:00 AM,1/3/2017 5:00:00 AM,SERC,SOUTH,DOM,DOM,10312.097,True
1/3/2017 11:00:00 AM,1/3/2017 6:00:00 AM,SERC,SOUTH,DOM,DOM,11547.701,True
1/3/2017 12:00:00 PM,1/3/2017 7:00:00 AM,SERC,SOUTH,DOM,DOM,12156.662,True
1/3/2017 1:00:00 PM,1/3/2017 8:00:00 AM,SERC,SOUTH,DOM,DOM,12100.904,True
1/3/2017 2:00:00 PM,1/3/2017 9:00:00 AM,SERC,SOUTH,DOM,DOM,11921.838,True
1/3/2017 3:00:00 PM,1/3/2017 10:00:00 AM,SERC,SOUTH,DOM,DOM,11851.582,True
1/3/2017 4:00:00 PM,1/3/2017 11:00:00 AM,SERC,SOUTH,DOM,DOM,11775.882,True
1/3/2017 5:00:00 PM,1/3/2017 12:00:00 PM,SERC,SOUTH,DOM,DOM,11599.205,True
